mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.462514638900757,1.1570533611607754,0.008232975006103515,0.0008073504185656104,tanh,0.001,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7261904761904762,0.8571428571428571,0.7619047619047619,0.8192771084337349,0.8795180722891566,0.8088066551921973,0.05739572099860537,7
7.408649444580078,1.1457135501135502,0.011208772659301758,0.006812071644982275,tanh,0.001,"(50,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7261904761904762,0.8571428571428571,0.7619047619047619,0.8192771084337349,0.8795180722891566,0.8088066551921973,0.05739572099860537,7
12.37499270439148,1.9737117539449076,0.011507749557495117,0.005445797732685738,tanh,0.001,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7380952380952381,0.8571428571428571,0.7619047619047619,0.8192771084337349,0.8674698795180723,0.808777969018933,0.0511610802969006,9
11.511954164505005,1.408406285119794,0.007539176940917968,0.0009080933287505167,tanh,0.001,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7380952380952381,0.8571428571428571,0.7619047619047619,0.8192771084337349,0.8674698795180723,0.808777969018933,0.0511610802969006,9
14.121805047988891,3.097609932591625,0.007638168334960937,0.0006730164753982716,tanh,0.001,"(150,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (150,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7023809523809523,0.8571428571428571,0.7738095238095238,0.8072289156626506,0.891566265060241,0.806425702811245,0.0658952433172996,11
13.922116899490357,3.092022849343788,0.011308383941650391,0.00544583161318434,tanh,0.001,"(150,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (150,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7023809523809523,0.8571428571428571,0.7738095238095238,0.8072289156626506,0.891566265060241,0.806425702811245,0.0658952433172996,11
7.303199100494385,1.1159104175137224,0.006646299362182617,0.0005050225226625682,tanh,0.01,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7142857142857143,0.8333333333333334,0.7619047619047619,0.8072289156626506,0.8674698795180723,0.7968445209409065,0.05378467007527929,15
7.441581964492798,0.9318290426270829,0.008233737945556641,0.001922962074645214,tanh,0.01,"(50,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7142857142857143,0.8333333333333334,0.7619047619047619,0.8072289156626506,0.8674698795180723,0.7968445209409065,0.05378467007527929,15
9.80482268333435,2.55518264600704,0.008035421371459961,0.0012305494684061416,tanh,0.01,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7261904761904762,0.8214285714285714,0.7619047619047619,0.8072289156626506,0.8433734939759037,0.7920252438324727,0.04236463186590634,17
9.688560104370117,2.19888659476126,0.0080352783203125,0.0015499399514348235,tanh,0.01,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7261904761904762,0.8214285714285714,0.7619047619047619,0.8072289156626506,0.8433734939759037,0.7920252438324727,0.04236463186590634,17
13.87975754737854,2.1823670268783846,0.010019826889038085,0.004751249764525546,tanh,0.01,"(150,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (150,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7142857142857143,0.8333333333333334,0.7738095238095238,0.8072289156626506,0.891566265060241,0.8040447504302926,0.059158818477431534,13
13.871523809432983,2.420165095425657,0.00872974395751953,0.0013526361712128479,tanh,0.01,"(150,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (150,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7142857142857143,0.8333333333333334,0.7738095238095238,0.8072289156626506,0.891566265060241,0.8040447504302926,0.059158818477431534,13
7.1002357006073,1.6054109190796748,0.007639169692993164,0.002442144756267908,tanh,0.05,"(50,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7142857142857143,0.8571428571428571,0.7738095238095238,0.8192771084337349,0.8795180722891566,0.8088066551921974,0.05933823521612569,5
7.317483615875244,1.4553277388657908,0.00932483673095703,0.0034272744250011403,tanh,0.05,"(50,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7142857142857143,0.8571428571428571,0.7738095238095238,0.8192771084337349,0.8795180722891566,0.8088066551921974,0.05933823521612569,5
